task,training_seed,checkpoint_type,std_key,subdir,run_path,model_file,model_search_dirs,clean_success,pixels_std0.08_success,atr_q90,atr_normalized_q90,smpr_delta0,recovery_label,status,history_size,n_sequences,rollout_horizon,rollout_horizon_actual,embedding_space,hutchinson_probes,pixel_input_dim,latent_input_dim,rollout_output_dim,encoder_trace,encoder_trace_std,encoder_trace_per_pixel_dim,rollout_trace,rollout_trace_std,rollout_trace_per_latent_dim,composed_trace,composed_trace_std,composed_trace_per_pixel_dim,alignment_coefficient,notes
TwoRoom,3072,base,0.00,tworoom_lewm_20260430,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_20260430,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_20260430/tworoom_lewm_20260430_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_20260430'],94.0,65.66666666666667,1.5144974763039856,1.0,0.31147539615631104,false,ok,3,16,8,8,normalized,8,7225344,9216,24576,188704.826171875,8203.869136975312,0.02611707154315075,4270.808990478516,1652.075859248979,0.46341243386268616,315041.31640625,117432.61813999123,0.043602258440047975,3.60260646305665,exact autograd JVP with Hutchinson trace estimates; not a full Jacobian matrix or closed-loop guarantee
TwoRoom,3072,onset,0.01,tworoom_lewm_noise_0to001_p1,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1/tworoom_lewm_noise_0to001_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1'],93.66666666666667,94.0,1.0454658513469122,0.6903054430293876,0.7540982961654663,true,ok,3,16,8,8,normalized,8,7225344,9216,24576,23089.26025390625,1129.9384585935168,0.0031955932138187813,4808.480560302734,1674.3118508219316,0.5217535330189599,40844.320068359375,16358.716183927665,0.005652923939449717,3.39044148423168,exact autograd JVP with Hutchinson trace estimates; not a full Jacobian matrix or closed-loop guarantee
TwoRoom,3072,endpoint,0.08,tworoom_lewm_noise_0to008_p1,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1/tworoom_lewm_noise_0to008_p1_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1'],98.33333333333333,97.66666666666667,0.09345786316418216,0.06170882726873793,0.9999999403953552,true,ok,3,16,8,8,normalized,8,7225344,9216,24576,504.83881759643555,78.39673941213275,6.98705580795095e-05,4664.037109375,1221.023008981289,0.5060804155137804,538.0142593383789,120.8616360520031,7.446209610758725e-05,2.105821299949368,exact autograd JVP with Hutchinson trace estimates; not a full Jacobian matrix or closed-loop guarantee
TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,1.0,0.2950819432735443,false,ok,3,16,8,8,normalized,8,7225344,9216,24576,129620.396484375,10586.168121470779,0.017939685153312422,5681.2606201171875,1384.3421811467292,0.6164562304814657,234925.0625,57153.435750016375,0.03251403151185604,2.9400435206395543,exact autograd JVP with Hutchinson trace estimates; not a full Jacobian matrix or closed-loop guarantee
TwoRoom,3073,onset,0.01,tworoom_lewm_noise_0to001_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1_seed3073/tworoom_lewm_noise_0to001_p1_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to001_p1_seed3073'],96.333333,95.666667,1.2074334060413774,0.7957834423161281,0.6393442153930664,true,ok,3,16,8,8,normalized,8,7225344,9216,24576,23366.1064453125,1242.8633960342165,0.00323390920145982,4819.058776855469,1628.3616217662682,0.5229013429747688,42827.8935546875,10417.971746373572,0.005927453911493695,3.505262983056167,exact autograd JVP with Hutchinson trace estimates; not a full Jacobian matrix or closed-loop guarantee
TwoRoom,3073,endpoint,0.08,tworoom_lewm_noise_0to008_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1_seed3073/tworoom_lewm_noise_0to008_p1_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1_seed3073'],97.0,97.333333,0.1321221251210847,0.08707776264008378,0.9836065173149109,true,ok,3,16,8,8,normalized,8,7225344,9216,24576,697.6445770263672,44.48768944055001,9.65552058180714e-05,12122.954711914062,7907.684896594778,1.3154247734281752,1565.497917175293,608.8684517420869,0.0002166675963352462,1.705894836952993,exact autograd JVP with Hutchinson trace estimates; not a full Jacobian matrix or closed-loop guarantee
TwoRoom,3074,base,0.00,tworoom_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3074/tworoom_lewm_baseline_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3074'],95.666667,69.0,1.4947153046014692,1.0,0.4098360538482666,false,ok,3,16,8,8,normalized,8,7225344,9216,24576,130854.6103515625,6327.585628246264,0.01811050246902604,5450.603576660156,942.809670864454,0.5914283394813538,242924.19921875,45928.12003886472,0.033621125751071505,3.1389154698245476,exact autograd JVP with Hutchinson trace estimates; not a full Jacobian matrix or closed-loop guarantee
TwoRoom,3074,onset,0.02,tworoom_lewm_noise_0to002_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to002_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to002_p1_seed3074/tworoom_lewm_noise_0to002_p1_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to002_p1_seed3074'],97.333333,97.666667,0.527574942818781,0.35296015314397716,0.8852458596229553,true,ok,3,16,8,8,normalized,8,7225344,9216,24576,7981.718078613281,478.30532837674514,0.0011046834695501392,6790.039123535156,2901.1280603974765,0.7367663979530334,14973.893676757812,6866.144042698572,0.0020724125628839006,2.54629402200149,exact autograd JVP with Hutchinson trace estimates; not a full Jacobian matrix or closed-loop guarantee
TwoRoom,3074,endpoint,0.08,tworoom_lewm_noise_0to008_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1_seed3074/tworoom_lewm_noise_0to008_p1_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_noise_0to008_p1_seed3074'],96.333333,96.333333,0.1080286071798046,0.07227370111702168,0.9836065173149109,true,ok,3,16,8,8,normalized,8,7225344,9216,24576,523.3179588317871,59.84163344987011,7.24281029154857e-05,6845.612121582031,2481.8915379148903,0.742796454164717,786.1301155090332,234.75487814016267,0.00010880175608372878,2.0223623574720166,exact autograd JVP with Hutchinson trace estimates; not a full Jacobian matrix or closed-loop guarantee
PushT,3072,base,0.00,pusht_lewm_20260430,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-pusht/ckpt/pusht_lewm_20260430,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-pusht/ckpt/pusht_lewm_20260430/pusht_lewm_20260430_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-pusht/ckpt/pusht_lewm_20260430'],86.33333333333333,4.333333333333333,3.4252009231417477,1.0,0.4285714328289032,false,ok,3,16,8,8,normalized,8,7225344,9216,24576,11501.611083984375,685.1931409767589,0.0015918426975911977,19967.424682617188,2926.831810957865,2.166604240735372,201359.3974609375,95113.9292303369,0.027868485910281574,8.080414436055664,exact autograd JVP with Hutchinson trace estimates; not a full Jacobian matrix or closed-loop guarantee
